nationality,Variable,Year,Value
China,Inflows of population,2008,20694
China,Inflows of population,2009,22297
China,Inflows of population,2010,24525
China,Inflows of population,2011,28718
China,Inflows of population,2012,25308
China,Inflows of population,2013,27898
China,Inflows of population,2014,27122
China,Inflows of population,2015,27924
China,Inflows of population,2016,29077
China,Inflows of population,2017,29277
China,Inflows of population,2018,25712
China,Inflows of population,2019,25464
China,Inflows of population,2020,18798
China,Outflows of population,2008,2651
China,Outflows of population,2009,2456
China,Outflows of population,2010,3001
China,Outflows of population,2011,3213
China,Outflows of population,2012,2666
China,Outflows of population,2013,2451
China,Outflows of population,2014,2211
China,Outflows of population,2015,2200
China,Outflows of population,2016,2100
Hong Kong,Inflows of population,2008,1806
Hong Kong,Inflows of population,2009,1561
Hong Kong,Inflows of population,2010,805
Hong Kong,Inflows of population,2011,806
Hong Kong,Inflows of population,2012,860
Hong Kong,Inflows of population,2013,1228
Hong Kong,Inflows of population,2014,1300
Hong Kong,Inflows of population,2015,1384
Hong Kong,Inflows of population,2016,1716
Hong Kong,Inflows of population,2017,1803
Hong Kong,Inflows of population,2018,1882
Hong Kong,Inflows of population,2019,1677
Hong Kong,Inflows of population,2020,1275
Hong Kong,Outflows of population,2008,1417
Hong Kong,Outflows of population,2009,990
Hong Kong,Outflows of population,2010,1178
Hong Kong,Outflows of population,2011,1181
Hong Kong,Outflows of population,2012,1034
Hong Kong,Outflows of population,2013,1022
Hong Kong,Outflows of population,2014,908
Hong Kong,Outflows of population,2015,800
Hong Kong,Outflows of population,2016,700
India,Inflows of population,2008,22725
India,Inflows of population,2009,25280
India,Inflows of population,2010,23477
India,Inflows of population,2011,21855
India,Inflows of population,2012,27830
India,Inflows of population,2013,38123
India,Inflows of population,2014,39642
India,Inflows of population,2015,34710
India,Inflows of population,2016,38552
India,Inflows of population,2017,40019
India,Inflows of population,2018,33065
India,Inflows of population,2019,32630
India,Inflows of population,2020,24498
India,Outflows of population,2008,1495
India,Outflows of population,2009,1297
India,Outflows of population,2010,1514
India,Outflows of population,2011,1754
India,Outflows of population,2012,1678
India,Outflows of population,2013,1889
India,Outflows of population,2014,2051
India,Outflows of population,2015,2400
India,Outflows of population,2016,2400
Nepal,Inflows of population,2008,883
