nationality,Variable,Year,Value
Philippines,Acquisition of Australian Nationality,2008,3841
Philippines,Acquisition of Australian Nationality,2009,3453
Philippines,Acquisition of Australian Nationality,2010,4505
Philippines,Acquisition of Australian Nationality,2011,4051
Philippines,Acquisition of Australian Nationality,2012,5592
Philippines,Acquisition of Australian Nationality,2013,9090
Philippines,Acquisition of Australian Nationality,2014,11628
Philippines,Acquisition of Australian Nationality,2015,8996
Philippines,Acquisition of Australian Nationality,2016,8333
Philippines,Acquisition of Australian Nationality,2017,9112
Philippines,Acquisition of Australian Nationality,2018,4921
Philippines,Acquisition of Australian Nationality,2019,9267
Philippines,Acquisition of Australian Nationality,2020,12838
Nepal,Acquisition of Australian Nationality,2008,440
Nepal,Acquisition of Australian Nationality,2009,298
Nepal,Acquisition of Australian Nationality,2010,550
Nepal,Acquisition of Australian Nationality,2011,520
Nepal,Acquisition of Australian Nationality,2012,589
Nepal,Acquisition of Australian Nationality,2013,1384
Nepal,Acquisition of Australian Nationality,2014,1810
Nepal,Acquisition of Australian Nationality,2015,2401
Nepal,Acquisition of Australian Nationality,2016,2959
Nepal,Acquisition of Australian Nationality,2017,2402
Nepal,Acquisition of Australian Nationality,2018,1665
Nepal,Acquisition of Australian Nationality,2019,3294
Nepal,Acquisition of Australian Nationality,2020,3676
New Zealand,Acquisition of Australian Nationality,2008,6835
New Zealand,Acquisition of Australian Nationality,2009,3761
New Zealand,Acquisition of Australian Nationality,2010,4165
New Zealand,Acquisition of Australian Nationality,2011,4304
New Zealand,Acquisition of Australian Nationality,2012,3458
New Zealand,Acquisition of Australian Nationality,2013,3794
New Zealand,Acquisition of Australian Nationality,2014,5361
New Zealand,Acquisition of Australian Nationality,2015,4091
New Zealand,Acquisition of Australian Nationality,2016,4390
New Zealand,Acquisition of Australian Nationality,2017,3593
New Zealand,Acquisition of Australian Nationality,2018,1840
New Zealand,Acquisition of Australian Nationality,2019,3027
New Zealand,Acquisition of Australian Nationality,2020,5367
Pakistan,Acquisition of Australian Nationality,2008,1190
Pakistan,Acquisition of Australian Nationality,2009,1194
Pakistan,Acquisition of Australian Nationality,2010,1728
Pakistan,Acquisition of Australian Nationality,2011,1057
Pakistan,Acquisition of Australian Nationality,2012,990
Pakistan,Acquisition of Australian Nationality,2013,2100
Pakistan,Acquisition of Australian Nationality,2014,2739
Pakistan,Acquisition of Australian Nationality,2015,2341
Pakistan,Acquisition of Australian Nationality,2016,3077
Pakistan,Acquisition of Australian Nationality,2017,4480
Pakistan,Acquisition of Australian Nationality,2018,919
Pakistan,Acquisition of Australian Nationality,2019,3360
Pakistan,Acquisition of Australian Nationality,2020,8821
South Africa,Acquisition of Australian Nationality,2008,5538
South Africa,Acquisition of Australian Nationality,2009,4162
South Africa,Acquisition of Australian Nationality,2010,5218
South Africa,Acquisition of Australian Nationality,2011,4389
South Africa,Acquisition of Australian Nationality,2012,4206
South Africa,Acquisition of Australian Nationality,2013,7900
South Africa,Acquisition of Australian Nationality,2014,9286
South Africa,Acquisition of Australian Nationality,2015,6211
South Africa,Acquisition of Australian Nationality,2016,5629
South Africa,Acquisition of Australian Nationality,2017,4906
South Africa,Acquisition of Australian Nationality,2018,3370
South Africa,Acquisition of Australian Nationality,2019,2680
South Africa,Acquisition of Australian Nationality,2020,5438
United Kingdom,Acquisition of Australian Nationality,2008,27032
United Kingdom,Acquisition of Australian Nationality,2009,18206
United Kingdom,Acquisition of Australian Nationality,2010,22284
United Kingdom,Acquisition of Australian Nationality,2011,19101
United Kingdom,Acquisition of Australian Nationality,2012,16401
United Kingdom,Acquisition of Australian Nationality,2013,20478
United Kingdom,Acquisition of Australian Nationality,2014,25884
United Kingdom,Acquisition of Australian Nationality,2015,20583
United Kingdom,Acquisition of Australian Nationality,2016,20949
United Kingdom,Acquisition of Australian Nationality,2017,21069
United Kingdom,Acquisition of Australian Nationality,2018,13875
United Kingdom,Acquisition of Australian Nationality,2019,13366
United Kingdom,Acquisition of Australian Nationality,2020,25018
China,Acquisition of Australian Nationality,2008,8407
China,Acquisition of Australian Nationality,2009,6700
China,Acquisition of Australian Nationality,2010,11109
China,Acquisition of Australian Nationality,2011,8898
