CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,8055,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,8295,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,9102,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,9374,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,12523,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,15193,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,17267,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,21085,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,20694,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,22297,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,24525,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,28718,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,25308,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,27898,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,27122,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,27924,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,29077,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,29277,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,25712,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,25464,,
CHN,China,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,18798,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,651,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,486,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,584,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,787,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,1125,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,1470,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,2159,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,2131,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,1806,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,1561,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,805,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,806,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,860,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,1228,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,1300,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,1384,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,1716,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,1803,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,1882,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,1677,,
HKG,"Hong Kong, China",B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,1275,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,4582,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,5812,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,7573,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,8194,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,11278,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,12788,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,15240,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,19823,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,22725,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,25280,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,23477,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,21855,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,27830,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,38123,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,39642,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,34710,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,38552,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2017,2017,40019,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2018,2018,33065,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2019,2019,32630,,
IND,India,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2020,2020,24498,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,145,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,207,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,379,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,421,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,513,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,596,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,599,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,734,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,883,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,975,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,1262,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,2073,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,2507,,
NPL,Nepal,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,4042,,
