Council,Category,Sum of Actual 2024,Sum of Actual 2025,Sum of Budget 2025
City of Paramatta,Borrowing costs,"$135,000","$47,000","$98,000"
City of Paramatta,"Depreciation, amortisation & impairment","$61,531,000","$70,059,000","$66,500,000"
City of Paramatta,Employee benefits & on-costs,"$159,530,000","$164,786,000","$145,934,000"
City of Paramatta,Grants & contributions – capital,"$57,452,000","$69,198,000","$75,732,000"
City of Paramatta,Grants & contributions – operating,"$16,057,000","$17,849,000","$23,721,000"
City of Paramatta,Interest & investment income,"$30,898,000","$28,486,000","$23,690,000"
City of Paramatta,Materials & services,"$129,925,000","$135,446,000","$72,736,000"
City of Paramatta,Net loss from disposal of assets,"$25,659,000","$7,307,000","-$211,000"
City of Paramatta,Net operating result attributable to Council,"$88,558,000","$55,652,000","$81,566,000"
City of Paramatta,Net operating result before capital grants,"$31,106,000","-$13,546,000","$5,834,000"
City of Paramatta,Operating result excluding depreciation,"$150,089,000","$125,711,000","$148,066,000"
City of Paramatta,Other expenses,"$6,488,000","$5,907,000","$55,225,000"
City of Paramatta,Other income,"$91,653,000","$26,905,000","$600,000"
City of Paramatta,Other revenues,"$12,358,000","$18,382,000","$18,880,000"
City of Paramatta,Rates & annual charges,"$221,620,000","$231,565,000","$229,252,000"
City of Paramatta,Total expenses excluding depreciation,"$321,737,000","$313,493,000","$273,782,000"
City of Paramatta,Total income from continuing operations,"$471,826,000","$439,204,000","$421,848,000"
City of Paramatta,User charges & fees,"$41,788,000","$46,819,000","$49,973,000"
City Of Sydney,Borrowing costs,"$216,000","$211,000",$0
City Of Sydney,"Depreciation, amortisation & impairment","$123,938,000","$130,214,000","$126,789,000"
City Of Sydney,Employee benefits & on-costs,"$276,897,000","$306,623,000","$289,337,000"
City Of Sydney,Grants & contributions – capital,"$117,839,000","$111,331,000","$95,048,000"
City Of Sydney,Grants & contributions – operating,"$16,508,000","$15,652,000","$17,477,000"
City Of Sydney,Interest & investment income,"$39,591,000","$39,676,000","$34,285,000"
City Of Sydney,Materials & services,"$299,048,000","$286,173,000","$244,959,000"
City Of Sydney,Net gain from disposal of assets,"$17,242,000",$0,$0
City Of Sydney,Net loss from disposal of assets,$0,"$6,568,000",$0
City Of Sydney,Net operating result attributable to Council,"$147,921,000","$133,462,000","$115,401,000"
City Of Sydney,Net operating result before capital grants,"$30,082,000","$22,131,000","$20,353,000"
City Of Sydney,Operating result excluding depreciation,"$271,859,000","$263,676,000","$242,190,000"
City Of Sydney,Operating result from continuing operations,"$147,921,000","$133,462,000","$115,401,000"
City Of Sydney,Other expenses,"$46,557,000","$46,497,000","$69,197,000"
City Of Sydney,Other income,"$100,738,000","$109,685,000","$88,075,000"
City Of Sydney,Other revenues,"$41,915,000","$50,103,000","$42,362,000"
City Of Sydney,Rates & annual charges,"$397,592,000","$420,955,000","$419,230,000"
City Of Sydney,Total expenses excluding depreciation,"$622,718,000","$646,072,000","$603,493,000"
City Of Sydney,Total income from continuing operations,"$894,577,000","$909,748,000","$845,683,000"
City Of Sydney,User charges & fees,"$163,152,000","$162,346,000","$149,206,000"
Hills Shire Council,Borrowing costs,"$37,000","$64,000",$0
Hills Shire Council,"Depreciation, amortisation & impairment","$26,904,000","$30,232,000","$29,613,000"
Hills Shire Council,Employee benefits & on-costs,"$73,247,000","$81,713,000","$83,698,000"
Hills Shire Council,Grants & contributions – capital,"$154,622,000","$167,184,000","$102,404,000"
Hills Shire Council,Grants & contributions – operating,"$23,113,000","$18,992,000","$19,810,000"
Hills Shire Council,Interest & investment income,"$25,956,000","$30,305,000","$12,978,000"
Hills Shire Council,Materials & services,"$79,966,000","$89,550,000","$88,447,000"
Hills Shire Council,Net gain from disposal of assets,"$2,407,000","$3,102,000","$1,262,000"
Hills Shire Council,Net operating result attributable to Council,"$161,711,000","$196,394,000","$116,251,000"
Hills Shire Council,Net operating result before capital grants,"$7,089,000","$29,210,000","$13,847,000"
Hills Shire Council,Operating result excluding depreciation,"$188,615,000","$226,626,000","$145,864,000"
Hills Shire Council,Operating result from continuing operations,"$161,711,000","$196,394,000","$116,251,000"
Hills Shire Council,Other expenses,"$41,618,000","$19,498,000","$6,710,000"
Hills Shire Council,Other income,"$8,152,000","$8,691,000","$8,427,000"
Hills Shire Council,Other revenues,"$9,312,000","$9,660,000","$6,933,000"
Hills Shire Council,Rates & annual charges,"$128,728,000","$144,008,000","$142,994,000"
Hills Shire Council,Total expenses excluding depreciation,"$194,868,000","$190,825,000","$178,855,000"
Hills Shire Council,Total income from continuing operations,"$383,483,000","$417,451,000","$324,719,000"
Hills Shire Council,User charges & fees,"$31,193,000","$35,509,000","$29,911,000"
Hornsby Shire Council,Borrowing costs,"$16,000","$23,000","$10,000"
Hornsby Shire Council,"Depreciation, amortisation & impairment","$25,107,000","$25,979,000","$25,461,000"
Hornsby Shire Council,Employee benefits & on-costs,"$54,031,000","$58,441,000","$58,497,000"
Hornsby Shire Council,Grants & contributions – capital,"-$22,203,000","$41,945,000","$9,940,000"
Hornsby Shire Council,Grants & contributions – operating,"$10,642,000","$13,562,000","$9,174,000"
Hornsby Shire Council,Interest & investment income,"$12,970,000","$12,548,000","$10,271,000"
Hornsby Shire Council,Materials & services,"$82,222,000","$72,268,000","$71,796,000"
Hornsby Shire Council,Net loss from disposal of assets,"$4,560,000","$1,211,000",$0
Hornsby Shire Council,Net operating result attributable to Council,"-$27,997,000","$62,513,000","$17,145,000"
Hornsby Shire Council,Net operating result before capital grants,"-$5,794,000","$20,568,000","$7,205,000"
Hornsby Shire Council,Operating result excluding depreciation,"-$2,890,000","$88,492,000","$42,606,000"
Hornsby Shire Council,Operating result from continuing operations,"-$27,997,000","$62,513,000","$17,145,000"
Hornsby Shire Council,Other expenses,"$4,813,000","$4,686,000","$4,576,000"
Hornsby Shire Council,Other income,"$5,759,000","$9,991,000","$4,050,000"
Hornsby Shire Council,Other revenues,"$4,179,000","$4,636,000","$3,963,000"
Hornsby Shire Council,Rates & annual charges,"$116,643,000","$126,012,000","$125,129,000"
Hornsby Shire Council,Total expenses excluding depreciation,"$145,642,000","$136,629,000","$134,879,000"
Hornsby Shire Council,Total income from continuing operations,"$142,752,000","$225,121,000","$177,485,000"
Hornsby Shire Council,User charges & fees,"$14,762,000","$16,427,000","$14,958,000"
North Sydney Council,Borrowing costs,"$1,497,000","$2,365,000","$2,382,000"
North Sydney Council,"Depreciation, amortisation & impairment","$28,240,000","$30,411,000","$31,095,000"
North Sydney Council,Employee benefits & on-costs,"$49,118,000","$48,080,000","$55,651,000"
North Sydney Council,Grants & contributions – capital,"$16,690,000","$13,909,000","$3,058,000"
North Sydney Council,Grants & contributions – operating,"$5,453,000","$4,869,000","$4,666,000"
North Sydney Council,Interest & investment income,"$5,612,000","$5,759,000","$2,665,000"
North Sydney Council,Materials & services,"$51,176,000","$52,555,000","$53,337,000"
North Sydney Council,Net loss from disposal of assets,"$1,304,000","$883,000","$277,000"
North Sydney Council,Net operating result attributable to Council,"$13,053,000","$15,177,000","-$5,193,000"
North Sydney Council,Net operating result before capital grants,"-$3,637,000","$1,268,000","-$8,251,000"
North Sydney Council,Net share of joint ventures (equity method),$0,"$1,000",$0
North Sydney Council,Operating result excluding depreciation,"$41,293,000","$45,588,000","$25,902,000"
North Sydney Council,Operating result from continuing operations,"$13,053,000","$15,177,000","-$5,193,000"
North Sydney Council,Other expenses,"$7,269,000","$5,108,000","$4,783,000"
North Sydney Council,Other income,"$5,970,000","$5,522,000","$5,887,000"
North Sydney Council,Other revenues,"$10,239,000","$13,967,000","$10,216,000"
North Sydney Council,Rates & annual charges,"$75,559,000","$79,820,000","$79,066,000"
North Sydney Council,Total expenses excluding depreciation,"$110,364,000","$108,992,000","$116,430,000"
North Sydney Council,Total income from continuing operations,"$151,657,000","$154,580,000","$142,332,000"
